Mean(R),retail_and_recreation_percent_change_from_baseline_11,grocery_and_pharmacy_percent_change_from_baseline_11,parks_percent_change_from_baseline_11,transit_stations_percent_change_from_baseline_11,workplaces_percent_change_from_baseline_11,residential_percent_change_from_baseline_11,retail_and_recreation_percent_change_from_baseline_10,grocery_and_pharmacy_percent_change_from_baseline_10,parks_percent_change_from_baseline_10,transit_stations_percent_change_from_baseline_10,workplaces_percent_change_from_baseline_10,residential_percent_change_from_baseline_10,retail_and_recreation_percent_change_from_baseline_9,grocery_and_pharmacy_percent_change_from_baseline_9,parks_percent_change_from_baseline_9,transit_stations_percent_change_from_baseline_9,workplaces_percent_change_from_baseline_9,residential_percent_change_from_baseline_9,retail_and_recreation_percent_change_from_baseline_8,grocery_and_pharmacy_percent_change_from_baseline_8,parks_percent_change_from_baseline_8,transit_stations_percent_change_from_baseline_8,workplaces_percent_change_from_baseline_8,residential_percent_change_from_baseline_8,retail_and_recreation_percent_change_from_baseline_7,grocery_and_pharmacy_percent_change_from_baseline_7,parks_percent_change_from_baseline_7,transit_stations_percent_change_from_baseline_7,workplaces_percent_change_from_baseline_7,residential_percent_change_from_baseline_7,retail_and_recreation_percent_change_from_baseline_6,grocery_and_pharmacy_percent_change_from_baseline_6,parks_percent_change_from_baseline_6,transit_stations_percent_change_from_baseline_6,workplaces_percent_change_from_baseline_6,residential_percent_change_from_baseline_6,retail_and_recreation_percent_change_from_baseline_5,grocery_and_pharmacy_percent_change_from_baseline_5,parks_percent_change_from_baseline_5,transit_stations_percent_change_from_baseline_5,workplaces_percent_change_from_baseline_5,residential_percent_change_from_baseline_5,retail_and_recreation_percent_change_from_baseline_4,grocery_and_pharmacy_percent_change_from_baseline_4,parks_percent_change_from_baseline_4,transit_stations_percent_change_from_baseline_4,workplaces_percent_change_from_baseline_4,residential_percent_change_from_baseline_4,retail_and_recreation_percent_change_from_baseline_3,grocery_and_pharmacy_percent_change_from_baseline_3,parks_percent_change_from_baseline_3,transit_stations_percent_change_from_baseline_3,workplaces_percent_change_from_baseline_3,residential_percent_change_from_baseline_3,retail_and_recreation_percent_change_from_baseline_2,grocery_and_pharmacy_percent_change_from_baseline_2,parks_percent_change_from_baseline_2,transit_stations_percent_change_from_baseline_2,workplaces_percent_change_from_baseline_2,residential_percent_change_from_baseline_2,retail_and_recreation_percent_change_from_baseline_1,grocery_and_pharmacy_percent_change_from_baseline_1,parks_percent_change_from_baseline_1,transit_stations_percent_change_from_baseline_1,workplaces_percent_change_from_baseline_1,residential_percent_change_from_baseline_1
1.563619952,5,0,15,1,0,0,6,1,25,0,1,-1,5,-2,9,-1,-19,5,0,-1,6,3,2,0,3,0,14,3,2,0,2,0,2,2,2,0,2,-2,19,6,3,0,9,4,68,8,3,-2,7,3,77,6,3,-1,2,-1,0,2,3,1,4,0,2,4,2,0
1.680110599,6,1,25,0,1,-1,5,-2,9,-1,-19,5,0,-1,6,3,2,0,3,0,14,3,2,0,2,0,2,2,2,0,2,-2,19,6,3,0,9,4,68,8,3,-2,7,3,77,6,3,-1,2,-1,0,2,3,1,4,0,2,4,2,0,6,2,-3,3,1,0
1.838417258,5,-2,9,-1,-19,5,0,-1,6,3,2,0,3,0,14,3,2,0,2,0,2,2,2,0,2,-2,19,6,3,0,9,4,68,8,3,-2,7,3,77,6,3,-1,2,-1,0,2,3,1,4,0,2,4,2,0,6,2,-3,3,1,0,2,0,-6,2,-3,2
1.821974991,0,-1,6,3,2,0,3,0,14,3,2,0,2,0,2,2,2,0,2,-2,19,6,3,0,9,4,68,8,3,-2,7,3,77,6,3,-1,2,-1,0,2,3,1,4,0,2,4,2,0,6,2,-3,3,1,0,2,0,-6,2,-3,2,4,1,7,7,1,0
1.662026758,3,0,14,3,2,0,2,0,2,2,2,0,2,-2,19,6,3,0,9,4,68,8,3,-2,7,3,77,6,3,-1,2,-1,0,2,3,1,4,0,2,4,2,0,6,2,-3,3,1,0,2,0,-6,2,-3,2,4,1,7,7,1,0,11,5,13,7,2,-2
1.652192253,2,0,2,2,2,0,2,-2,19,6,3,0,9,4,68,8,3,-2,7,3,77,6,3,-1,2,-1,0,2,3,1,4,0,2,4,2,0,6,2,-3,3,1,0,2,0,-6,2,-3,2,4,1,7,7,1,0,11,5,13,7,2,-2,17,10,68,11,4,-2
1.688371144,2,-2,19,6,3,0,9,4,68,8,3,-2,7,3,77,6,3,-1,2,-1,0,2,3,1,4,0,2,4,2,0,6,2,-3,3,1,0,2,0,-6,2,-3,2,4,1,7,7,1,0,11,5,13,7,2,-2,17,10,68,11,4,-2,7,3,-7,2,2,0
1.724709337,9,4,68,8,3,-2,7,3,77,6,3,-1,2,-1,0,2,3,1,4,0,2,4,2,0,6,2,-3,3,1,0,2,0,-6,2,-3,2,4,1,7,7,1,0,11,5,13,7,2,-2,17,10,68,11,4,-2,7,3,-7,2,2,0,12,8,23,7,2,-1
1.758951888,7,3,77,6,3,-1,2,-1,0,2,3,1,4,0,2,4,2,0,6,2,-3,3,1,0,2,0,-6,2,-3,2,4,1,7,7,1,0,11,5,13,7,2,-2,17,10,68,11,4,-2,7,3,-7,2,2,0,12,8,23,7,2,-1,12,7,29,7,2,-1
1.824393408,2,-1,0,2,3,1,4,0,2,4,2,0,6,2,-3,3,1,0,2,0,-6,2,-3,2,4,1,7,7,1,0,11,5,13,7,2,-2,17,10,68,11,4,-2,7,3,-7,2,2,0,12,8,23,7,2,-1,12,7,29,7,2,-1,11,8,51,8,2,-1
1.883606254,4,0,2,4,2,0,6,2,-3,3,1,0,2,0,-6,2,-3,2,4,1,7,7,1,0,11,5,13,7,2,-2,17,10,68,11,4,-2,7,3,-7,2,2,0,12,8,23,7,2,-1,12,7,29,7,2,-1,11,8,51,8,2,-1,2,-3,9,5,2,0
1.921921223,6,2,-3,3,1,0,2,0,-6,2,-3,2,4,1,7,7,1,0,11,5,13,7,2,-2,17,10,68,11,4,-2,7,3,-7,2,2,0,12,8,23,7,2,-1,12,7,29,7,2,-1,11,8,51,8,2,-1,2,-3,9,5,2,0,13,7,68,13,4,-2
1.948213958,2,0,-6,2,-3,2,4,1,7,7,1,0,11,5,13,7,2,-2,17,10,68,11,4,-2,7,3,-7,2,2,0,12,8,23,7,2,-1,12,7,29,7,2,-1,11,8,51,8,2,-1,2,-3,9,5,2,0,13,7,68,13,4,-2,15,9,187,14,2,-2
1.97492934,4,1,7,7,1,0,11,5,13,7,2,-2,17,10,68,11,4,-2,7,3,-7,2,2,0,12,8,23,7,2,-1,12,7,29,7,2,-1,11,8,51,8,2,-1,2,-3,9,5,2,0,13,7,68,13,4,-2,15,9,187,14,2,-2,9,7,78,7,1,0
1.985405248,11,5,13,7,2,-2,17,10,68,11,4,-2,7,3,-7,2,2,0,12,8,23,7,2,-1,12,7,29,7,2,-1,11,8,51,8,2,-1,2,-3,9,5,2,0,13,7,68,13,4,-2,15,9,187,14,2,-2,9,7,78,7,1,0,5,6,13,2,0,0
1.994157725,17,10,68,11,4,-2,7,3,-7,2,2,0,12,8,23,7,2,-1,12,7,29,7,2,-1,11,8,51,8,2,-1,2,-3,9,5,2,0,13,7,68,13,4,-2,15,9,187,14,2,-2,9,7,78,7,1,0,5,6,13,2,0,0,8,11,25,4,0,0
2.01489897,7,3,-7,2,2,0,12,8,23,7,2,-1,12,7,29,7,2,-1,11,8,51,8,2,-1,2,-3,9,5,2,0,13,7,68,13,4,-2,15,9,187,14,2,-2,9,7,78,7,1,0,5,6,13,2,0,0,8,11,25,4,0,0,9,32,50,2,-1,0
1.96905492,12,8,23,7,2,-1,12,7,29,7,2,-1,11,8,51,8,2,-1,2,-3,9,5,2,0,13,7,68,13,4,-2,15,9,187,14,2,-2,9,7,78,7,1,0,5,6,13,2,0,0,8,11,25,4,0,0,9,32,50,2,-1,0,-1,21,46,1,-4,2
1.875943443,12,7,29,7,2,-1,11,8,51,8,2,-1,2,-3,9,5,2,0,13,7,68,13,4,-2,15,9,187,14,2,-2,9,7,78,7,1,0,5,6,13,2,0,0,8,11,25,4,0,0,9,32,50,2,-1,0,-1,21,46,1,-4,2,-12,11,9,-4,-3,4
1.749997724,11,8,51,8,2,-1,2,-3,9,5,2,0,13,7,68,13,4,-2,15,9,187,14,2,-2,9,7,78,7,1,0,5,6,13,2,0,0,8,11,25,4,0,0,9,32,50,2,-1,0,-1,21,46,1,-4,2,-12,11,9,-4,-3,4,-9,17,46,-6,-7,3
1.642572246,2,-3,9,5,2,0,13,7,68,13,4,-2,15,9,187,14,2,-2,9,7,78,7,1,0,5,6,13,2,0,0,8,11,25,4,0,0,9,32,50,2,-1,0,-1,21,46,1,-4,2,-12,11,9,-4,-3,4,-9,17,46,-6,-7,3,-16,26,16,-9,-18,7
1.565766325,13,7,68,13,4,-2,15,9,187,14,2,-2,9,7,78,7,1,0,5,6,13,2,0,0,8,11,25,4,0,0,9,32,50,2,-1,0,-1,21,46,1,-4,2,-12,11,9,-4,-3,4,-9,17,46,-6,-7,3,-16,26,16,-9,-18,7,-25,11,27,-10,-25,10
1.505791493,15,9,187,14,2,-2,9,7,78,7,1,0,5,6,13,2,0,0,8,11,25,4,0,0,9,32,50,2,-1,0,-1,21,46,1,-4,2,-12,11,9,-4,-3,4,-9,17,46,-6,-7,3,-16,26,16,-9,-18,7,-25,11,27,-10,-25,10,-29,5,2,-15,-28,12
1.439857915,9,7,78,7,1,0,5,6,13,2,0,0,8,11,25,4,0,0,9,32,50,2,-1,0,-1,21,46,1,-4,2,-12,11,9,-4,-3,4,-9,17,46,-6,-7,3,-16,26,16,-9,-18,7,-25,11,27,-10,-25,10,-29,5,2,-15,-28,12,-32,8,14,-19,-31,14
1.393954398,5,6,13,2,0,0,8,11,25,4,0,0,9,32,50,2,-1,0,-1,21,46,1,-4,2,-12,11,9,-4,-3,4,-9,17,46,-6,-7,3,-16,26,16,-9,-18,7,-25,11,27,-10,-25,10,-29,5,2,-15,-28,12,-32,8,14,-19,-31,14,-35,0,47,-19,-34,16
1.346597491,8,11,25,4,0,0,9,32,50,2,-1,0,-1,21,46,1,-4,2,-12,11,9,-4,-3,4,-9,17,46,-6,-7,3,-16,26,16,-9,-18,7,-25,11,27,-10,-25,10,-29,5,2,-15,-28,12,-32,8,14,-19,-31,14,-35,0,47,-19,-34,16,-44,-7,4,-22,-25,11
1.297754929,9,32,50,2,-1,0,-1,21,46,1,-4,2,-12,11,9,-4,-3,4,-9,17,46,-6,-7,3,-16,26,16,-9,-18,7,-25,11,27,-10,-25,10,-29,5,2,-15,-28,12,-32,8,14,-19,-31,14,-35,0,47,-19,-34,16,-44,-7,4,-22,-25,11,-38,0,62,-26,-28,8
1.257620116,-1,21,46,1,-4,2,-12,11,9,-4,-3,4,-9,17,46,-6,-7,3,-16,26,16,-9,-18,7,-25,11,27,-10,-25,10,-29,5,2,-15,-28,12,-32,8,14,-19,-31,14,-35,0,47,-19,-34,16,-44,-7,4,-22,-25,11,-38,0,62,-26,-28,8,-33,-1,-2,-26,-39,16
1.212221709,-12,11,9,-4,-3,4,-9,17,46,-6,-7,3,-16,26,16,-9,-18,7,-25,11,27,-10,-25,10,-29,5,2,-15,-28,12,-32,8,14,-19,-31,14,-35,0,47,-19,-34,16,-44,-7,4,-22,-25,11,-38,0,62,-26,-28,8,-33,-1,-2,-26,-39,16,-51,-26,11,-31,-47,20
1.176576924,-9,17,46,-6,-7,3,-16,26,16,-9,-18,7,-25,11,27,-10,-25,10,-29,5,2,-15,-28,12,-32,8,14,-19,-31,14,-35,0,47,-19,-34,16,-44,-7,4,-22,-25,11,-38,0,62,-26,-28,8,-33,-1,-2,-26,-39,16,-51,-26,11,-31,-47,20,-43,-18,101,-27,-48,19
1.145100079,-16,26,16,-9,-18,7,-25,11,27,-10,-25,10,-29,5,2,-15,-28,12,-32,8,14,-19,-31,14,-35,0,47,-19,-34,16,-44,-7,4,-22,-25,11,-38,0,62,-26,-28,8,-33,-1,-2,-26,-39,16,-51,-26,11,-31,-47,20,-43,-18,101,-27,-48,19,-42,-15,103,-29,-48,20
1.126175915,-25,11,27,-10,-25,10,-29,5,2,-15,-28,12,-32,8,14,-19,-31,14,-35,0,47,-19,-34,16,-44,-7,4,-22,-25,11,-38,0,62,-26,-28,8,-33,-1,-2,-26,-39,16,-51,-26,11,-31,-47,20,-43,-18,101,-27,-48,19,-42,-15,103,-29,-48,20,-46,-20,26,-33,-48,22
1.11472703,-29,5,2,-15,-28,12,-32,8,14,-19,-31,14,-35,0,47,-19,-34,16,-44,-7,4,-22,-25,11,-38,0,62,-26,-28,8,-33,-1,-2,-26,-39,16,-51,-26,11,-31,-47,20,-43,-18,101,-27,-48,19,-42,-15,103,-29,-48,20,-46,-20,26,-33,-48,22,-50,-21,29,-34,-35,14
1.103884285,-32,8,14,-19,-31,14,-35,0,47,-19,-34,16,-44,-7,4,-22,-25,11,-38,0,62,-26,-28,8,-33,-1,-2,-26,-39,16,-51,-26,11,-31,-47,20,-43,-18,101,-27,-48,19,-42,-15,103,-29,-48,20,-46,-20,26,-33,-48,22,-50,-21,29,-34,-35,14,-43,-19,117,-33,-35,10
1.095719372,-35,0,47,-19,-34,16,-44,-7,4,-22,-25,11,-38,0,62,-26,-28,8,-33,-1,-2,-26,-39,16,-51,-26,11,-31,-47,20,-43,-18,101,-27,-48,19,-42,-15,103,-29,-48,20,-46,-20,26,-33,-48,22,-50,-21,29,-34,-35,14,-43,-19,117,-33,-35,10,-41,-18,4,-32,-48,19
1.084709751,-44,-7,4,-22,-25,11,-38,0,62,-26,-28,8,-33,-1,-2,-26,-39,16,-51,-26,11,-31,-47,20,-43,-18,101,-27,-48,19,-42,-15,103,-29,-48,20,-46,-20,26,-33,-48,22,-50,-21,29,-34,-35,14,-43,-19,117,-33,-35,10,-41,-18,4,-32,-48,19,-41,-16,7,-28,-49,20
1.075183531,-38,0,62,-26,-28,8,-33,-1,-2,-26,-39,16,-51,-26,11,-31,-47,20,-43,-18,101,-27,-48,19,-42,-15,103,-29,-48,20,-46,-20,26,-33,-48,22,-50,-21,29,-34,-35,14,-43,-19,117,-33,-35,10,-41,-18,4,-32,-48,19,-41,-16,7,-28,-49,20,-37,-9,25,-27,-49,20
1.071771213,-33,-1,-2,-26,-39,16,-51,-26,11,-31,-47,20,-43,-18,101,-27,-48,19,-42,-15,103,-29,-48,20,-46,-20,26,-33,-48,22,-50,-21,29,-34,-35,14,-43,-19,117,-33,-35,10,-41,-18,4,-32,-48,19,-41,-16,7,-28,-49,20,-37,-9,25,-27,-49,20,-37,-7,87,-28,-49,20
1.07277469,-51,-26,11,-31,-47,20,-43,-18,101,-27,-48,19,-42,-15,103,-29,-48,20,-46,-20,26,-33,-48,22,-50,-21,29,-34,-35,14,-43,-19,117,-33,-35,10,-41,-18,4,-32,-48,19,-41,-16,7,-28,-49,20,-37,-9,25,-27,-49,20,-37,-7,87,-28,-49,20,-38,-8,108,-28,-48,20
1.07755487,-43,-18,101,-27,-48,19,-42,-15,103,-29,-48,20,-46,-20,26,-33,-48,22,-50,-21,29,-34,-35,14,-43,-19,117,-33,-35,10,-41,-18,4,-32,-48,19,-41,-16,7,-28,-49,20,-37,-9,25,-27,-49,20,-37,-7,87,-28,-49,20,-38,-8,108,-28,-48,20,-43,-9,138,-26,-35,12
1.090344612,-42,-15,103,-29,-48,20,-46,-20,26,-33,-48,22,-50,-21,29,-34,-35,14,-43,-19,117,-33,-35,10,-41,-18,4,-32,-48,19,-41,-16,7,-28,-49,20,-37,-9,25,-27,-49,20,-37,-7,87,-28,-49,20,-38,-8,108,-28,-48,20,-43,-9,138,-26,-35,12,-46,-18,37,-39,-37,11
1.110020047,-46,-20,26,-33,-48,22,-50,-21,29,-34,-35,14,-43,-19,117,-33,-35,10,-41,-18,4,-32,-48,19,-41,-16,7,-28,-49,20,-37,-9,25,-27,-49,20,-37,-7,87,-28,-49,20,-38,-8,108,-28,-48,20,-43,-9,138,-26,-35,12,-46,-18,37,-39,-37,11,-37,-11,81,-28,-48,18
1.138799531,-50,-21,29,-34,-35,14,-43,-19,117,-33,-35,10,-41,-18,4,-32,-48,19,-41,-16,7,-28,-49,20,-37,-9,25,-27,-49,20,-37,-7,87,-28,-49,20,-38,-8,108,-28,-48,20,-43,-9,138,-26,-35,12,-46,-18,37,-39,-37,11,-37,-11,81,-28,-48,18,-41,-14,68,-28,-50,19
1.177046328,-43,-19,117,-33,-35,10,-41,-18,4,-32,-48,19,-41,-16,7,-28,-49,20,-37,-9,25,-27,-49,20,-37,-7,87,-28,-49,20,-38,-8,108,-28,-48,20,-43,-9,138,-26,-35,12,-46,-18,37,-39,-37,11,-37,-11,81,-28,-48,18,-41,-14,68,-28,-50,19,-36,-9,106,-26,-50,18
1.227777111,-41,-18,4,-32,-48,19,-41,-16,7,-28,-49,20,-37,-9,25,-27,-49,20,-37,-7,87,-28,-49,20,-38,-8,108,-28,-48,20,-43,-9,138,-26,-35,12,-46,-18,37,-39,-37,11,-37,-11,81,-28,-48,18,-41,-14,68,-28,-50,19,-36,-9,106,-26,-50,18,-39,-9,11,-33,-51,21
